Maciej Bukowski 350762 28.12.2017 20:22:20


                    STATE OF GAS IN TECHNOLOGICAL PROCESS

DATE        |  TIME      |  TEMPERATURE [°C]  |  MASS [kg]  |  PRESSURE [hPa]
16.12.2017  |  23:00:00  |  17.900            |  28.6       |  4.940037      
16.12.2017  |  23:00:30  |  21.100            |  27.1       |  4.732409      
16.12.2017  |  23:01:00  |  16.500            |  28.7       |  4.933464      
16.12.2017  |  23:01:30  |  25.600            |  27.4       |  4.857972      
16.12.2017  |  23:02:00  |  24.600            |  29.9       |  5.283473      
16.12.2017  |  23:02:30  |  18.200            |  30.0       |  5.187198      
16.12.2017  |  23:03:00  |  15.600            |  28.8       |  4.935271      
16.12.2017  |  23:03:30  |  20.800            |  28.0       |  4.884589      
16.12.2017  |  23:04:00  |  26.900            |  29.8       |  5.306479      
16.12.2017  |  23:04:30  |  16.300            |  29.7       |  5.101837      
16.12.2017  |  23:05:00  |  27.500            |  27.9       |  4.978081      
16.12.2017  |  23:05:30  |  18.200            |  28.9       |  4.997001      
16.12.2017  |  23:06:00  |  27.900            |  30.0       |  5.359897      
16.12.2017  |  23:06:30  |  28.500            |  28.3       |  5.066246      
16.12.2017  |  23:07:00  |  16.300            |  28.5       |  4.895702      
16.12.2017  |  23:07:30  |  25.400            |  26.9       |  4.766130      
16.12.2017  |  23:08:00  |  19.000            |  27.2       |  4.715973      
16.12.2017  |  23:08:30  |  27.100            |  26.9       |  4.793269      
16.12.2017  |  23:09:00  |  18.200            |  29.1       |  5.031582      
16.12.2017  |  23:09:30  |  29.500            |  27.0       |  4.849545      
16.12.2017  |  23:10:00  |  23.100            |  25.0       |  4.395365      
16.12.2017  |  23:10:30  |  28.100            |  25.8       |  4.612574      
16.12.2017  |  23:11:00  |  16.800            |  28.9       |  4.972989      
16.12.2017  |  23:11:30  |  26.800            |  28.6       |  5.091098      
16.12.2017  |  23:12:00  |  26.000            |  27.0       |  4.793462      
16.12.2017  |  23:12:30  |  20.100            |  26.0       |  4.524889      
16.12.2017  |  23:13:00  |  22.200            |  28.7       |  5.030549      
16.12.2017  |  23:13:30  |  15.500            |  27.1       |  4.642345      
16.12.2017  |  23:14:00  |  23.000            |  25.1       |  4.411456      
16.12.2017  |  23:14:30  |  22.300            |  26.0       |  4.558835      
16.12.2017  |  23:15:00  |  24.600            |  27.6       |  4.877052      
16.12.2017  |  23:15:30  |  29.200            |  25.4       |  4.557642      
16.12.2017  |  23:16:00  |  15.400            |  29.1       |  4.983226      
16.12.2017  |  23:16:30  |  17.200            |  29.0       |  4.997081      
16.12.2017  |  23:17:00  |  17.400            |  29.2       |  5.035009      
16.12.2017  |  23:17:30  |  29.100            |  27.5       |  4.932823      
16.12.2017  |  23:18:00  |  29.700            |  25.8       |  4.637072      
16.12.2017  |  23:18:30  |  27.700            |  26.1       |  4.660012      
16.12.2017  |  23:19:00  |  29.700            |  29.8       |  5.355998      
16.12.2017  |  23:19:30  |  15.100            |  26.2       |  4.481951      
16.12.2017  |  23:20:00  |  28.100            |  25.2       |  4.505304      
16.12.2017  |  23:20:30  |  22.900            |  25.3       |  4.445106      
16.12.2017  |  23:21:00  |  17.800            |  26.6       |  4.593001      
16.12.2017  |  23:21:30  |  27.500            |  27.6       |  4.924553      
16.12.2017  |  23:22:00  |  21.900            |  26.1       |  4.570173      
